OBJECTID,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,INTPTLAT10,INTPTLON10,TRACT,TRBG,TRBG_STR,ACRES_TOTAL,ACRES_LAND,ACRES_WATER,WATER,SHAPE_Length,SHAPE_Area
423,011300,2,530330113002,Block Group 2,+47.5189648,-122.3487146,11300,11300.2,11300.2,93.26600749,93.267455,0,,10013.9395252909,4062667.28619873
424,011300,3,530330113003,Block Group 3,+47.5227709,-122.3505825,11300,11300.3,11300.3,68.40674829,68.40741815,0,,7479.58510450104,2979797.95545011
425,011300,4,530330113004,Block Group 4,+47.5276599,-122.3512052,11300,11300.4,11300.4,97.67810694,97.67952158,0,,11528.9528058482,4254858.33833171
426,011300,5,530330113005,Block Group 5,+47.5311992,-122.3498358,11300,11300.5,11300.5,71.89102159,71.89209823,0,,7214.73186767659,3131572.90024345
427,011401,1,530330114011,Block Group 1,+47.5309870,-122.3644917,11401,11401.1,11401.1,90.61064699,90.61230769,0,,7946.86991838983,3946999.78306781
428,011401,2,530330114012,Block Group 2,+47.5264803,-122.3651930,11401,11401.2,11401.2,90.40629032,90.40770443,0,,8625.03017024163,3938098.00640581
429,011401,3,530330114013,Block Group 3,+47.5311252,-122.3579099,11401,11401.3,11401.3,123.69724029,123.69872978,0,,12135.4523143435,5388251.78687746
430,011402,1,530330114021,Block Group 1,+47.5229876,-122.3640494,11402,11402.1,11402.1,107.05609023,107.05717079,0,,10700.8107650777,4663363.29046538
431,011402,2,530330114022,Block Group 2,+47.5194714,-122.3586051,11402,11402.2,11402.2,79.30287595,79.30402414,0,,9013.18175511655,3454433.27655727
432,011402,3,530330114023,Block Group 3,+47.5192232,-122.3696754,11402,11402.3,11402.3,106.75010334,106.75150144,0,,9711.27330737389,4650034.50129493
433,011800,4,530330118004,Block Group 4,+47.5220494,-122.2718902,11800,11800.4,11800.4,96.54650434,96.54728473,0,,10949.20119418,4205565.72891124
434,011800,5,530330118005,Block Group 5,+47.5286434,-122.2743868,11800,11800.5,11800.5,73.82305562,73.82421521,0,,7782.27659763531,3215732.30278816
435,011800,6,530330118006,Block Group 6,+47.5256435,-122.2678319,11800,11800.6,11800.6,133.63949384,133.6417561,0,,13125.2224328124,5821336.35173488
436,011900,1,530330119001,Block Group 1,+47.5102089,-122.2392650,11900,11900.1,11900.1,472.17130348,145.99233015,326.18305661,,27337.7902816428,20567781.9797714
437,011900,2,530330119002,Block Group 2,+47.5085033,-122.2521450,11900,11900.2,11900.2,167.75286681,167.75415974,0,,21545.3415236682,7307314.87814654
438,011900,3,530330119003,Block Group 3,+47.5050665,-122.2578467,11900,11900.3,11900.3,110.77661889,110.7770952,0,,11613.1796597534,4825429.5190091
439,011900,4,530330119004,Block Group 4,+47.4989808,-122.2651804,11900,11900.4,11900.4,148.8132323,148.81476781,0,,11913.6469706802,6482304.39912701
440,011900,5,530330119005,Block Group 5,+47.5086642,-122.2659395,11900,11900.5,11900.5,211.38442245,211.38580397,0,,15437.2492081935,9207905.44194752
441,012000,1,530330120001,Block Group 1,+47.5141277,-122.3754368,12000,12000.1,12000.1,115.17606298,115.17754782,0,,10651.5102920153,5017069.30346514
442,012000,2,530330120002,Block Group 2,+47.5100826,-122.3805420,12000,12000.2,12000.2,125.70475982,125.70571968,0,,13369.28855515,5475699.33787742
443,012000,3,530330120003,Block Group 3,+47.5148103,-122.3860011,12000,12000.3,12000.3,116.80371921,116.80448965,0,,10330.3748280458,5087970.00869626
444,012100,1,530330121001,Block Group 1,+47.5081679,-122.3910859,12100,12100.1,12100.1,505.72934548,209.76503977,295.96775193,,29023.7462955231,22029570.2892873
445,012100,2,530330121002,Block Group 2,+47.5022795,-122.3781750,12100,12100.2,12100.2,265.43133212,215.57621702,49.8572172,,16708.0153155929,11562188.8270709
446,026001,1,530330260011,Block Group 1,+47.5061068,-122.2420482,26001,26001.1,26001.1,14.99977158,14.99977158,0,,8005.85906883024,653390.049920022
447,026400,4,530330264004,Block Group 4,+47.5099893,-122.3222332,26400,26400.4,26400.4,16.32813679,16.32813679,0,,6023.64775124408,711253.638592276
448,026400,5,530330264005,Block Group 5,+47.5161607,-122.3192934,26400,26400.5,26400.5,0.1005861,0.1005861,0,,318.55424562987,4381.53050100587
449,026500,1,530330265001,Block Group 1,+47.5157215,-122.3347679,26500,26500.1,26500.1,102.04701619,102.04701619,0,,11122.0144992467,4445168.02515097
450,990100,0,530339901000,Block Group 0,+47.5106478,-122.4154213,990100,990100,990100.0,22813.59874963,0,59208.37522694,1,247514.77045831,993760361.534045
451,007402,1,530330074021,Block Group 1,+47.6198948,-122.3239006,7402,7402.1,7402.1,27.91558611,27.91623621,0,,5212.49158320099,1216002.93088642
452,007402,2,530330074022,Block Group 2,+47.6175733,-122.3233876,7402,7402.2,7402.2,18.26443444,18.26528845,0,,4003.86007398341,795598.764201189
453,007402,3,530330074023,Block Group 3,+47.6181141,-122.3265790,7402,7402.3,7402.3,15.41659667,15.41739893,0,,3867.25795035043,671546.951112111
454,007500,1,530330075001,Block Group 1,+47.6221264,-122.3141747,7500,7500.1,7500.1,26.93931591,26.94041706,0,,4628.28726557411,1173476.60091838
455,007500,2,530330075002,Block Group 2,+47.6170592,-122.3141653,7500,7500.2,7500.2,34.05718305,34.05828756,0,,5658.47242474998,1483530.8934418
456,007500,3,530330075003,Block Group 3,+47.6226825,-122.3183213,7500,7500.3,7500.3,34.09458782,34.09658889,0,,4886.91875632307,1485160.24524387
457,007500,4,530330075004,Block Group 4,+47.6147380,-122.3174348,7500,7500.4,7500.4,58.57803891,58.58053136,0,,9127.40964876907,2551659.37493172
458,007500,5,530330075005,Block Group 5,+47.6186658,-122.3187904,7500,7500.5,7500.5,44.43749709,44.43943172,0,,6850.05423731032,1935697.37324017
459,007600,1,530330076001,Block Group 1,+47.6242270,-122.3075099,7600,7600.1,7600.1,42.16272339,42.16457958,0,,6502.16283298414,1836608.2306673
460,007600,2,530330076002,Block Group 2,+47.6207018,-122.3052922,7600,7600.2,7600.2,52.74797459,52.750327,0,,6509.08561415289,2297701.77308015
461,007600,3,530330076003,Block Group 3,+47.6210493,-122.3102624,7600,7600.3,7600.3,46.39724958,46.3992245,0,,6101.59541073219,2021064.19152654
462,007700,1,530330077001,Block Group 1,+47.6191944,-122.2940691,7700,7700.1,7700.1,97.71043056,97.71510476,0,,11335.942968127,4256266.3550899
463,007700,2,530330077002,Block Group 2,+47.6230424,-122.2989817,7700,7700.2,7700.2,57.51327413,57.51575427,0,,7104.93761815015,2505278.22091824
464,007700,3,530330077003,Block Group 3,+47.6151944,-122.2992865,7700,7700.3,7700.3,59.95373245,59.95616701,0,,6606.45156096,2611584.58544261
465,007700,4,530330077004,Block Group 4,+47.6191757,-122.2997472,7700,7700.4,7700.4,46.32872034,46.33077631,0,,6726.12712594594,2018079.0581375
466,007800,1,530330078001,Block Group 1,+47.6141558,-122.2810958,7800,7800.1,7800.1,993.23911437,199.57268412,793.70866141,,37020.7752201866,43265495.8218024
467,011500,1,530330115001,Block Group 1,+47.5324342,-122.3724945,11500,11500.1,11500.1,136.89243405,136.89465134,0,,12611.0294041773,5963034.42701628
468,011500,2,530330115002,Block Group 2,+47.5250339,-122.3763326,11500,11500.2,11500.2,131.49396823,131.49564587,0,,11934.5257378552,5727877.25608719
469,011500,3,530330115003,Block Group 3,+47.5334850,-122.3783143,11500,11500.3,11500.3,111.74795844,111.74994908,0,,10757.6600879565,4867741.06978578
470,011600,1,530330116001,Block Group 1,+47.5377577,-122.3842469,11600,11600.1,11600.1,109.95424738,109.95571691,0,,10551.6717518587,4789607.01584011
471,011600,2,530330116002,Block Group 2,+47.5319232,-122.3849104,11600,11600.2,11600.2,78.72974678,78.73148097,0,,8105.33368766794,3429467.76958594
472,011600,3,530330116003,Block Group 3,+47.5259491,-122.3859234,11600,11600.3,11600.3,136.81594764,136.81903709,0,,13303.98508059,5959702.67911812
473,011600,4,530330116004,Block Group 4,+47.5195300,-122.3838260,11600,11600.4,11600.4,143.27553955,143.27713622,0,,12879.5625345878,6241082.50269097
474,011600,5,530330116005,Block Group 5,+47.5247720,-122.3934287,11600,11600.5,11600.5,127.10923227,81.43506094,45.67619415,,13395.0140301512,5536878.1577917
475,011600,6,530330116006,Block Group 6,+47.5338344,-122.3952427,11600,11600.6,11600.6,412.56344154,218.25508645,194.31527004,,23986.3644447983,17971263.5133625
476,011700,1,530330117001,Block Group 1,+47.5253731,-122.2788950,11700,11700.1,11700.1,135.48167308,135.48293829,0,,13641.8347316066,5901581.67956913
477,011700,2,530330117002,Block Group 2,+47.5195872,-122.2875646,11700,11700.2,11700.2,392.01842307,392.02304985,0,,25580.3504060867,17076322.5090904
478,011700,3,530330117003,Block Group 3,+47.5254231,-122.2847614,11700,11700.3,11700.3,125.00748224,125.00888251,0,,14804.2218136569,5445325.92654466
479,011700,4,530330117004,Block Group 4,+47.5148776,-122.2755994,11700,11700.4,11700.4,213.85687312,213.85908172,0,,17917.7958950719,9315605.3930416
480,011800,1,530330118001,Block Group 1,+47.5154414,-122.2532080,11800,11800.1,11800.1,648.59380632,87.86869664,560.7330132,,21875.1245323648,28252746.2034287
481,011800,2,530330118002,Block Group 2,+47.5159969,-122.2571162,11800,11800.2,11800.2,92.83970873,92.84070401,0,,9865.25566752803,4044097.71226381
482,011800,3,530330118003,Block Group 3,+47.5168113,-122.2639039,11800,11800.3,11800.3,83.89544007,83.89647764,0,,7754.1431103747,3654485.36941829
